iter	Passed	Remaining
0	58	58675
1	59	29468
2	59	19714
3	59	14827
4	59	11919
5	60	9968
6	60	8570
7	60	7521
8	60	6704
9	61	6052
10	61	5519
11	61	5074
12	61	4696
13	62	4387
14	62	4108
15	62	3865
16	63	3646
17	63	3457
18	63	3284
19	63	3130
20	64	2990
21	64	2863
22	64	2746
23	64	2639
24	65	2539
25	65	2448
26	65	2364
27	65	2285
28	66	2212
29	66	2144
30	66	2082
31	66	2024
32	67	1970
33	67	1919
34	67	1870
35	68	1825
36	68	1780
37	68	1739
38	69	1701
39	69	1663
40	69	1626
41	69	1593
42	70	1560
43	70	1528
44	70	1498
45	70	1472
46	71	1444
47	71	1418
48	71	1395
49	72	1372
50	72	1349
51	72	1329
52	73	1308
53	73	1287
54	73	1267
55	73	1247
56	74	1227
57	74	1209
58	74	1191
59	74	1174
60	75	1159
61	75	1143
62	75	1129
63	76	1114
64	76	1099
65	76	1085
66	76	1071
67	77	1058
68	77	1045
69	77	1033
70	78	1021
71	78	1008
72	78	997
73	78	986
74	79	975
75	79	965
76	79	955
77	80	945
78	80	939
79	80	930
80	81	920
81	81	911
82	81	900
83	81	891
84	82	882
85	82	874
86	82	867
87	82	859
88	83	851
89	83	845
90	84	841
91	84	838
92	85	832
93	85	826
94	86	819
95	86	812
96	87	814
97	87	808
98	88	802
99	88	796
100	88	790
101	89	783
102	89	777
103	89	771
104	89	765
105	90	759
106	90	754
107	90	751
108	91	747
109	91	743
110	92	739
111	92	734
112	92	729
113	93	724
114	93	719
115	93	714
116	93	708
117	94	704
118	94	699
119	94	696
120	95	691
121	95	687
122	96	687
123	96	683
124	97	679
125	97	675
126	97	670
127	97	666
128	98	662
129	98	659
130	98	655
131	99	652
132	99	648
133	99	645
134	100	642
135	100	638
136	100	635
137	101	631
138	101	627
139	101	624
140	101	621
141	102	616
142	102	613
143	102	610
144	102	606
145	103	603
146	103	599
147	103	596
148	103	593
149	104	590
150	104	586
151	104	583
152	104	580
153	105	577
154	105	574
155	105	571
156	105	568
157	106	565
158	106	562
159	106	559
160	106	555
161	106	552
162	107	549
163	107	547
164	107	545
165	108	543
166	108	540
167	108	538
168	109	537
169	109	535
170	110	533
171	110	531
172	110	529
173	110	526
174	111	524
175	111	521
176	111	519
177	112	518
178	112	517
179	113	515
180	113	513
181	113	511
182	114	509
183	114	507
184	114	505
185	115	503
186	115	501
187	115	499
188	115	497
189	116	495
190	116	493
191	116	491
192	117	489
193	117	487
194	117	486
195	118	484
196	118	482
197	118	480
198	119	479
199	119	477
200	119	475
201	119	473
202	120	471
203	120	470
204	120	468
205	121	466
206	121	464
207	121	463
208	122	461
209	122	460
210	122	458
211	123	457
212	123	456
213	123	454
214	124	452
215	124	451
216	124	450
217	125	448
218	125	447
219	125	445
220	126	444
221	126	442
222	126	441
223	126	439
224	127	437
225	127	436
226	127	435
227	128	433
228	128	432
229	128	430
230	128	429
231	129	427
232	129	426
233	129	424
234	130	423
235	130	422
236	130	421
237	131	420
238	131	419
239	131	417
240	132	416
241	132	414
242	132	413
243	133	412
244	133	411
245	133	410
246	134	408
247	134	407
248	134	406
249	134	404
250	135	403
251	135	402
252	135	401
253	136	400
254	136	398
255	136	397
256	137	396
257	137	395
258	137	394
259	138	393
260	138	391
261	138	390
262	139	389
263	139	388
264	139	387
265	140	386
266	140	385
267	140	383
268	140	382
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	376
275	143	375
276	143	374
277	143	373
278	144	372
279	144	371
280	145	371
281	145	369
282	145	368
283	145	367
284	146	366
285	146	365
286	146	364
287	146	363
288	147	362
289	147	360
290	147	359
291	147	358
292	148	357
293	148	356
294	148	355
295	148	354
296	149	353
297	149	352
298	149	351
299	150	350
300	150	349
301	150	348
302	150	346
303	151	345
304	151	344
305	151	343
306	151	343
307	152	342
308	152	341
309	153	341
310	153	340
311	153	339
312	154	338
313	154	338
314	155	337
315	155	336
316	155	335
317	156	335
318	156	334
319	156	333
320	157	332
321	157	331
322	157	330
323	157	329
324	157	328
325	158	327
326	158	326
327	159	325
328	159	324
329	159	324
330	159	323
331	160	322
332	160	321
333	160	320
334	161	319
335	161	318
336	161	317
337	161	316
338	162	315
339	162	314
340	162	314
341	162	313
342	163	312
343	163	311
344	163	310
345	164	310
346	164	309
347	164	308
348	165	308
349	165	307
350	165	306
351	165	305
352	166	304
353	166	304
354	167	303
355	167	302
356	167	301
357	167	301
358	168	300
359	168	299
360	168	298
361	169	297
362	169	297
363	169	296
364	169	295
365	170	294
366	170	293
367	170	293
368	171	292
369	171	291
370	171	290
371	171	290
372	172	289
373	172	288
374	172	287
375	172	287
376	173	286
377	173	285
378	173	284
379	174	284
380	174	283
381	174	282
382	174	281
383	175	281
384	175	280
385	175	279
386	175	278
387	176	278
388	176	277
389	176	276
390	177	275
391	177	275
392	177	274
393	177	273
394	178	273
395	178	272
396	179	271
397	179	271
398	179	270
399	180	270
400	180	269
401	180	269
402	181	268
403	181	268
404	182	267
405	182	266
406	182	266
407	182	265
408	183	264
409	183	264
410	183	263
411	184	262
412	184	262
413	184	261
414	185	260
415	185	260
416	185	259
417	185	258
418	186	258
419	186	257
420	186	256
421	186	256
422	187	255
423	187	254
424	187	254
425	188	253
426	188	252
427	188	252
428	188	251
429	189	250
430	189	250
431	189	249
432	189	248
433	190	248
434	190	247
435	190	246
436	191	246
437	191	245
438	191	245
439	192	244
440	192	243
441	192	243
442	192	242
443	193	241
444	193	241
445	193	240
446	194	240
447	195	240
448	195	239
449	195	239
450	196	238
451	196	238
452	196	237
453	197	236
454	197	236
455	197	235
456	198	235
457	198	234
458	198	234
459	199	233
460	199	233
461	199	232
462	199	231
463	200	231
464	200	230
465	200	230
466	201	229
467	201	229
468	201	228
469	202	227
470	202	227
471	202	226
472	203	226
473	203	225
474	203	224
475	203	224
476	204	223
477	204	223
478	204	222
479	205	222
480	205	221
481	205	221
482	205	220
483	206	219
484	206	219
485	206	218
486	207	218
487	207	217
488	207	216
489	207	216
490	208	215
491	208	215
492	208	214
493	208	214
494	209	213
495	209	212
496	209	212
497	210	211
498	210	211
499	210	210
500	211	210
501	211	209
502	211	209
503	211	208
504	212	208
505	212	207
506	212	207
507	213	206
508	213	206
509	213	205
510	214	205
511	214	204
512	214	203
513	215	203
514	215	202
515	215	202
516	215	201
517	216	201
518	216	200
519	216	199
520	216	199
521	217	199
522	217	198
523	217	197
524	218	197
525	218	196
526	218	196
527	219	195
528	219	195
529	219	194
530	219	194
531	220	193
532	220	193
533	220	192
534	220	192
535	221	191
536	221	191
537	221	190
538	222	189
539	222	189
540	222	188
541	222	188
542	223	187
543	223	187
544	223	186
545	223	186
546	224	185
547	224	185
548	224	184
549	224	184
550	225	183
551	225	183
552	226	182
553	226	182
554	226	181
555	227	181
556	227	180
557	227	180
558	228	179
559	228	179
560	228	178
561	228	178
562	229	177
563	229	177
564	230	177
565	230	176
566	230	176
567	230	175
568	231	175
569	231	174
570	231	174
571	232	173
572	232	173
573	232	172
574	232	172
575	233	171
576	233	171
577	233	170
578	233	170
579	234	169
580	234	169
581	234	168
582	235	168
583	235	167
584	235	167
585	236	166
586	236	166
587	236	165
588	236	165
589	237	164
590	237	164
591	237	163
592	238	163
593	238	162
594	238	162
595	238	161
596	239	161
597	239	160
598	239	160
599	239	159
600	240	159
601	240	158
602	240	158
603	240	157
604	241	157
605	241	157
606	242	156
607	242	156
608	242	155
609	242	155
610	243	154
611	243	154
612	243	154
613	244	153
614	244	153
615	244	152
616	245	152
617	245	151
618	245	151
619	246	150
620	246	150
621	246	149
622	246	149
623	247	148
624	247	148
625	247	148
626	248	147
